/	0.00020	0.00026	0.00025	0.00028	0.00030	0.00032	0.00034	0.00037	0.00042	0.00042	0.00044	0.00044	0.00046	0.00048	0.00050	0.00053	0.00057	0.00062	0.00065	0.00073	0.00080	0.00087	0.00096	0.00106	0.00110	0.00120	0.00128	0.00136	0.00144	0.00147	0.00152	0.00158	0.00160	0.00164	0.00175	0.00186	0.00195	0.00216	0.00232	0.00233	0.00250	0.00267	0.00282	0.00305	0.00319	0.00333	0.00354	0.00373	0.00381	0.00391	0.00405	0.00425	0.00451	0.00475	0.00480	0.00481	0.00489	0.00506	0.00530	0.00554	0.00580	0.00610	0.00644	0.00684	0.00719	0.00738	0.00766	0.00822	0.00864	0.00879	0.00888	0.00856	0.00791	0.00809	0.00434	
:	0.00080	0.00125	0.00151	0.00183	0.00203	0.00210	0.00220	0.00240	0.00283	0.00300	0.00302	0.00313	0.00327	0.00347	0.00370	0.00399	0.00433	0.00470	0.00501	0.00543	0.00602	0.00671	0.00735	0.00800	0.00863	0.00934	0.01010	0.01087	0.01162	0.01220	0.01272	0.01328	0.01381	0.01451	0.01534	0.01617	0.01699	0.01805	0.01887	0.01953	0.02044	0.02156	0.02294	0.02459	0.02565	0.02678	0.02790	0.02864	0.02976	0.03047	0.03135	0.03217	0.03321	0.03447	0.03488	0.03515	0.03512	0.03546	0.03585	0.03629	0.03714	0.03795	0.03893	0.03976	0.04042	0.04130	0.04176	0.04217	0.04227	0.04221	0.04241	0.04204	0.04052	0.04331	0.04217	
=	0.00420	0.00742	0.00847	0.01032	0.01158	0.01213	0.01277	0.01363	0.01563	0.01673	0.01755	0.01812	0.01837	0.01935	0.01979	0.02098	0.02210	0.02313	0.02431	0.02559	0.02748	0.02878	0.03122	0.03362	0.03589	0.03811	0.03939	0.04163	0.04372	0.04517	0.04663	0.04675	0.04806	0.04963	0.05176	0.05370	0.05362	0.05479	0.05600	0.05728	0.05878	0.06101	0.06386	0.06529	0.06680	0.06849	0.07006	0.07120	0.07109	0.07157	0.07223	0.07295	0.07372	0.07320	0.07288	0.07238	0.07203	0.07172	0.07138	0.07091	0.06953	0.06947	0.06964	0.06923	0.06887	0.06743	0.06645	0.06488	0.06345	0.06219	0.06037	0.05924	0.05844	0.05192	0.04609	
7	0.00076	0.00098	0.00118	0.00134	0.00147	0.00150	0.00155	0.00170	0.00199	0.00211	0.00213	0.00223	0.00230	0.00243	0.00261	0.00275	0.00300	0.00323	0.00342	0.00375	0.00412	0.00454	0.00494	0.00541	0.00579	0.00626	0.00671	0.00719	0.00767	0.00800	0.00838	0.00866	0.00889	0.00940	0.01007	0.01066	0.01107	0.01192	0.01257	0.01296	0.01369	0.01455	0.01555	0.01663	0.01734	0.01809	0.01911	0.01991	0.02050	0.02112	0.02175	0.02251	0.02353	0.02435	0.02473	0.02477	0.02500	0.02539	0.02600	0.02661	0.02716	0.02812	0.02917	0.03036	0.03136	0.03201	0.03294	0.03393	0.03463	0.03509	0.03525	0.03546	0.03419	0.03954	0.04175	
*	0.00024	0.00027	0.00032	0.00034	0.00031	0.00028	0.00025	0.00029	0.00037	0.00034	0.00028	0.00030	0.00032	0.00033	0.00035	0.00036	0.00039	0.00040	0.00037	0.00039	0.00040	0.00042	0.00043	0.00045	0.00047	0.00051	0.00054	0.00056	0.00056	0.00056	0.00058	0.00059	0.00060	0.00061	0.00063	0.00064	0.00067	0.00073	0.00078	0.00077	0.00078	0.00080	0.00082	0.00086	0.00089	0.00092	0.00095	0.00098	0.00100	0.00101	0.00101	0.00105	0.00108	0.00114	0.00115	0.00114	0.00114	0.00118	0.00121	0.00127	0.00130	0.00135	0.00138	0.00143	0.00149	0.00149	0.00151	0.00158	0.00160	0.00157	0.00148	0.00130	0.00108	0.00071	0.00022	
,	0.00015	0.00020	0.00022	0.00024	0.00024	0.00026	0.00027	0.00029	0.00033	0.00032	0.00032	0.00034	0.00035	0.00036	0.00037	0.00039	0.00043	0.00046	0.00047	0.00053	0.00058	0.00063	0.00068	0.00075	0.00079	0.00085	0.00091	0.00096	0.00100	0.00103	0.00108	0.00110	0.00109	0.00112	0.00120	0.00128	0.00134	0.00147	0.00158	0.00159	0.00168	0.00180	0.00189	0.00201	0.00212	0.00218	0.00231	0.00245	0.00245	0.00249	0.00255	0.00266	0.00280	0.00292	0.00292	0.00289	0.00294	0.00304	0.00318	0.00333	0.00338	0.00357	0.00372	0.00392	0.00411	0.00408	0.00418	0.00443	0.00460	0.00463	0.00447	0.00419	0.00373	0.00340	0.00167	
2	0.00027	0.00043	0.00049	0.00055	0.00060	0.00058	0.00061	0.00070	0.00082	0.00086	0.00086	0.00090	0.00093	0.00099	0.00105	0.00109	0.00119	0.00128	0.00136	0.00150	0.00163	0.00177	0.00192	0.00211	0.00221	0.00237	0.00254	0.00270	0.00288	0.00298	0.00314	0.00323	0.00327	0.00344	0.00368	0.00388	0.00405	0.00447	0.00477	0.00487	0.00519	0.00553	0.00593	0.00642	0.00673	0.00704	0.00752	0.00786	0.00815	0.00840	0.00866	0.00910	0.00965	0.01013	0.01027	0.01021	0.01035	0.01059	0.01087	0.01123	0.01167	0.01226	0.01302	0.01389	0.01463	0.01512	0.01569	0.01677	0.01757	0.01800	0.01832	0.01809	0.01701	0.01959	0.02043	
-	0.00012	0.00014	0.00015	0.00016	0.00016	0.00016	0.00016	0.00019	0.00022	0.00022	0.00022	0.00023	0.00023	0.00024	0.00026	0.00027	0.00030	0.00032	0.00033	0.00036	0.00040	0.00044	0.00049	0.00054	0.00057	0.00062	0.00068	0.00072	0.00077	0.00080	0.00082	0.00085	0.00086	0.00089	0.00095	0.00100	0.00105	0.00118	0.00128	0.00129	0.00136	0.00145	0.00151	0.00161	0.00172	0.00177	0.00189	0.00196	0.00201	0.00207	0.00212	0.00221	0.00232	0.00244	0.00248	0.00251	0.00257	0.00268	0.00283	0.00300	0.00314	0.00329	0.00342	0.00358	0.00375	0.00385	0.00397	0.00422	0.00442	0.00445	0.00437	0.00407	0.00365	0.00335	0.00165	
1	0.00032	0.00046	0.00051	0.00057	0.00062	0.00066	0.00068	0.00073	0.00081	0.00083	0.00084	0.00087	0.00090	0.00093	0.00096	0.00103	0.00113	0.00122	0.00130	0.00142	0.00157	0.00173	0.00191	0.00210	0.00225	0.00242	0.00256	0.00278	0.00295	0.00303	0.00320	0.00334	0.00340	0.00352	0.00378	0.00402	0.00422	0.00466	0.00501	0.00514	0.00554	0.00600	0.00652	0.00716	0.00759	0.00796	0.00858	0.00906	0.00929	0.00956	0.00991	0.01045	0.01115	0.01165	0.01171	0.01150	0.01163	0.01184	0.01223	0.01267	0.01288	0.01360	0.01454	0.01566	0.01657	0.01688	0.01752	0.01874	0.01978	0.02030	0.02036	0.02011	0.01902	0.02065	0.01149	
C	0.12490	0.23394	0.20932	0.19086	0.17687	0.17476	0.17468	0.16419	0.14728	0.14126	0.14122	0.14250	0.14010	0.13418	0.13895	0.13642	0.13161	0.12592	0.12048	0.11387	0.10473	0.10162	0.09377	0.08596	0.08102	0.07518	0.07450	0.07060	0.06618	0.06208	0.05941	0.06043	0.06092	0.05898	0.05335	0.04982	0.04967	0.04694	0.04371	0.04202	0.03957	0.03633	0.03258	0.03059	0.02872	0.02722	0.02554	0.02393	0.02351	0.02266	0.02175	0.02071	0.01946	0.01871	0.01821	0.01802	0.01765	0.01677	0.01545	0.01399	0.01297	0.01191	0.01092	0.00985	0.00907	0.00879	0.00827	0.00755	0.00689	0.00638	0.00602	0.00569	0.00561	0.00421	0.00647	
