/	8698	11386	10773	12071	12740	13826	14521	16051	17993	18213	18733	18934	19761	20843	21470	22708	24460	26883	28100	31546	34318	37375	41202	45689	47341	51812	55109	58641	61896	63154	65347	67878	69070	70393	75490	80136	83905	93168	99889	100403	107831	115146	121456	131473	137518	143270	152398	160779	164056	168243	174343	182844	194347	204332	206621	206848	210365	217687	228244	238686	249812	262773	277155	294584	309494	317817	329594	353712	371743	378214	382305	368308	340489	348447	186679	
:	34404	53741	64948	78706	87586	90323	94730	103245	121897	129304	130033	134913	140749	149464	159352	171863	186252	202190	215841	233663	259267	288808	316179	344266	371594	402183	434641	467934	500204	525348	547733	571844	594345	624674	660421	696192	731173	777039	812107	840866	879837	928221	987416	1058381	1103967	1152956	1201003	1232923	1281188	1311782	1349454	1384748	1429549	1483934	1501546	1513149	1511973	1526481	1543226	1562054	1598793	1633674	1675767	1711707	1740113	1777888	1797499	1815365	1819720	1817141	1825604	1809815	1744360	1864417	1815248	
=	180961	319207	364697	444202	498397	522102	549791	586728	672643	720097	755644	779981	790720	832756	851945	903204	951254	995657	1046561	1101360	1182818	1238992	1343732	1447443	1544800	1640609	1695553	1792155	1881796	1944594	2007394	2012295	2068884	2136594	2228158	2311541	2308178	2358340	2410439	2465664	2530491	2626261	2749154	2810648	2875695	2948194	3015840	3065037	3060116	3080826	3109070	3140066	3173235	3150873	3137195	3115753	3100691	3087303	3072855	3052419	2993220	2990540	2997722	2979952	2964821	2902429	2860295	2792741	2731098	2677081	2598914	2549991	2515623	2235028	1983818	
7	32810	42246	50624	57862	63304	64422	66730	72996	85554	90958	91594	95825	98988	104772	112388	118509	129152	139217	147236	161510	177164	195413	212856	232879	249219	269398	288732	309445	330183	344455	360738	372868	382533	404517	433459	458679	476729	513059	541288	558021	589105	626265	669290	715766	746362	778779	822566	856971	882429	908947	936455	968880	1013034	1048151	1064370	1066171	1076162	1093027	1119340	1145574	1169095	1210499	1255787	1306751	1349927	1378100	1417944	1460438	1490778	1510654	1517456	1526297	1471924	1701893	1797347	
*	10536	11451	13668	14613	13142	11843	10854	12610	15713	14427	12177	12782	13731	14245	15023	15351	16724	17416	16112	16674	17409	18120	18544	19469	20365	21908	23211	23926	24257	24227	24904	25192	25783	26442	27206	27658	28650	31232	33527	32961	33466	34610	35381	37034	38367	39721	40981	42320	43250	43393	43343	44997	46358	49114	49702	48897	49095	50654	52289	54464	56026	58008	59515	61347	64007	64181	64949	67900	68959	67594	63738	55780	46479	30667	9504	
,	6581	8507	9397	10158	10352	11149	11829	12600	14113	13748	13623	14473	15145	15583	15914	16706	18550	19752	20413	22916	24812	26974	29109	32104	34050	36434	38980	41468	42979	44338	46527	47258	47105	48352	51799	54942	57493	63420	68012	68381	72371	77370	81226	86550	91308	93667	99541	105452	105401	107313	109814	114501	120730	125622	125732	124289	126518	130802	136948	143176	145360	153528	159954	168770	176959	175668	180098	190616	197993	199126	192544	180494	160691	146496	71731	
2	11443	18395	21233	23849	25809	25099	26079	29948	35211	36979	37090	38550	40153	42514	45098	46744	51018	55083	58499	64706	70327	76370	82557	90651	95311	102218	109515	116145	124035	128135	135034	138926	140889	148026	158313	166973	174246	192220	205328	209697	223391	238044	255327	276228	289824	303032	323615	338163	350791	361456	372634	391645	415386	435859	442164	439526	445334	455678	467841	483456	502351	527935	560664	598032	629673	650701	675578	721929	756350	774685	788517	778835	732102	843471	879656	
-	5223	6146	6444	6766	7017	7076	7057	8249	9590	9360	9285	9749	9979	10462	11153	11768	12793	13935	14116	15626	17328	19104	21171	23318	24733	26882	29213	30994	33156	34536	35116	36660	37027	38103	40984	43066	45334	50853	55038	55490	58584	62255	65115	69374	73937	76325	81367	84494	86595	89083	91077	95246	100065	104945	106643	108124	110463	115446	121945	129286	134986	141760	147413	154152	161354	165728	170985	181843	190170	191356	188173	175323	156938	144217	71037	
1	13724	20008	21937	24574	26622	28258	29454	31362	35004	35879	35995	37280	38705	40151	41327	44533	48777	52345	55965	61185	67699	74419	82133	90229	96995	104195	110347	119832	126877	130433	137676	143625	146327	151335	162802	173201	181821	200766	215859	221307	238663	258253	280769	308034	326519	342760	369141	389973	400017	411444	426645	449685	480001	501343	503879	495159	500730	509587	526337	545356	554476	585624	626104	673995	713409	726688	754028	806893	851498	873640	876564	865765	818941	888911	494405	
C	5376692	10070291	9010640	8216056	7613877	7522757	7519419	7067673	6339867	6080606	6078881	6134349	6030907	5776070	5981358	5872255	5665317	5420393	5186278	4901527	4508336	4374239	4036300	3700429	3487527	3236176	3206969	3039272	2848674	2672151	2557396	2601444	2622373	2538967	2296741	2144577	2138152	2020578	1881419	1808793	1703230	1564015	1402517	1316724	1236449	1171655	1099474	1030123	1012044	975587	936084	891462	837792	805211	783912	775755	759888	721813	665186	602225	558301	512664	470157	424135	390301	378185	356167	325088	296795	274697	259340	244947	241569	181058	278711	
0	7598	12148	13467	15057	15860	15669	15603	17988	21383	22519	22535	23237	23984	25678	26773	28244	30389	32759	34883	37939	41305	44835	48496	52704	55523	59744	63363	67778	72075	75317	78674	80730	81229	84627	91339	95492	100344	109717	117403	118436	125623	133697	139173	148584	154120	159116	169331	176461	180821	184834	190980	199908	209098	217805	219129	219324	224253	229460	238711	246585	251939	263555	275921	291237	306300	311449	322620	341787	357127	362951	361495	352850	330810	364166	205800	
.	10424	12028	12618	13300	13803	13819	14049	15612	17968	18573	17691	18350	18872	19770	21308	21720	23571	25428	26645	29320	32497	35232	38551	41865	44365	47817	51905	55405	59221	61428	63885	65923	65988	68046	73073	76576	80605	89666	95220	95969	101150	106954	112820	120404	125161	129959	138285	143805	145631	150075	152883	159009	166597	171979	174006	174015	176076	181488	189482	197622	202405	211104	219095	231026	241386	244433	250665	265220	275870	278214	272204	258847	236117	229467	117926	
@	1678873	1584595	1715129	1894288	1995603	1931114	1961380	2094009	2307622	2507692	2598175	2534931	2484128	2540018	2589579	2635346	2663284	2697028	2742706	2789462	2868039	2965228	3076368	3216236	3294300	3364967	3446290	3532589	3589465	3622848	3661769	3710658	3751461	3786995	3846264	3869748	3917123	3900454	3895982	3914152	3918120	3914522	3932597	3970990	3956594	3943271	3894829	3900517	3897013	3869636	3840352	3787155	3718436	3687978	3652895	3629757	3578514	3516995	3483881	3402205	3348371	3250913	3148427	3036640	2923026	2855460	2763978	2637273	2513375	2412554	2338648	2267724	2239843	1841539	1665982	
<	115665	158802	184117	212600	225437	210874	216164	240048	284909	309389	311309	315941	319077	334689	353854	372911	390525	407913	426873	448512	479238	518124	553171	594552	632069	671770	706714	751198	794379	817846	842229	861610	884412	918763	964616	1000589	1026742	1066324	1095469	1116918	1156107	1198857	1260329	1327790	1365828	1410106	1451000	1482223	1521201	1541773	1567972	1589941	1625385	1656465	1667685	1664839	1659797	1668745	1677770	1680104	1698304	1712843	1730554	1742897	1748414	1765428	1771785	1762756	1747047	1730406	1720256	1703336	1661105	1664287	1552275	
;	106468	174289	197872	233272	254952	259732	265795	275020	306007	319810	328871	339143	344563	357061	366133	384803	402856	420906	442400	465774	494986	522162	553319	595251	631880	668743	690454	727593	761022	783977	812508	826057	851930	884828	931167	969777	991726	1028458	1061950	1093505	1134076	1185491	1258958	1316954	1363612	1416295	1468926	1512931	1548932	1575831	1608608	1644665	1688577	1723658	1737528	1737668	1734353	1736855	1751328	1758017	1767025	1795835	1832369	1857231	1878279	1897178	1908714	1906589	1900152	1891521	1874104	1868222	1824171	1800069	1693312	
