/	4540	6013	4814	5495	5888	6276	6729	7554	8677	8974	8996	8498	8423	9026	9150	9504	10305	10882	11737	13189	14453	16537	19310	22113	22645	24055	24791	26026	26537	25504	26102	27104	26840	26844	26975	26991	27304	29676	32038	32890	37011	41487	45578	49413	49600	50274	54155	57513	58482	61699	64207	67615	71917	75032	76421	77846	81504	86319	89684	94732	99901	103445	107176	113222	118848	125285	129632	139727	146673	149451	154836	152175	145631	148200	77480	
=	87140	161701	189321	234598	258835	265927	286783	308817	355628	381728	403807	410991	405288	430416	440903	470666	491227	504528	526146	547331	586463	612111	658197	701548	753567	797448	808832	871834	908060	915501	941038	923662	968599	1013461	1054651	1089820	1067240	1097955	1129539	1168777	1221345	1279463	1330006	1328493	1364677	1420512	1471841	1513403	1498295	1525787	1570709	1600061	1623918	1605206	1627684	1646799	1663820	1670995	1667256	1663104	1622131	1628069	1638342	1635751	1639532	1604078	1591767	1567227	1546296	1524343	1475021	1452105	1438202	1298295	1175429	
:	17213	28785	35632	44441	48756	50708	53939	58780	68939	72606	70245	70329	71200	74859	79919	84573	89345	96098	101524	109993	121284	139661	155237	167021	179129	188955	202332	216368	225505	229205	236248	244867	254542	266681	273546	281547	295462	310991	326173	342846	369735	399697	426792	457668	471134	491973	519002	537358	564848	585836	612911	636983	656243	693272	713874	734399	750966	767360	772496	780715	806084	823137	843345	858639	881234	920433	940377	958920	970913	978073	996217	988246	956529	1047348	1047825	
7	14044	20342	25483	29794	32477	32868	35050	38251	45307	48158	48156	48448	48514	51152	56286	57691	60819	64572	67791	74021	80267	93496	103747	115108	122932	129008	135704	144030	148926	149938	154303	156695	160377	169433	176113	179661	183477	195760	206584	217380	238089	261271	283006	299663	306767	319254	342743	361912	373823	391580	412423	431343	450636	467488	484861	499987	518667	532605	546203	558999	569699	588858	606206	628863	655484	681605	709682	740725	763545	780362	791530	807392	794480	923339	1007174	
*	3857	4343	4194	4497	4577	3704	3435	4505	5630	4864	4039	3915	4156	4410	4380	4469	4711	4979	4828	5031	5180	5935	6668	7352	7830	8568	8852	8806	9260	9020	9360	9340	9284	9466	9378	9350	9652	10239	10682	10817	11541	12155	12980	13751	13944	14067	14346	15166	15929	16214	16371	17220	17649	18661	18496	18776	19318	20854	21132	22432	23494	24100	24466	25352	26740	27018	27467	28640	29315	28651	27844	25099	21317	14244	4295	
,	2753	3941	3730	4084	4486	4706	5031	5496	6370	6146	5920	5865	5851	6236	6146	6301	7150	7483	7885	9183	10041	11441	13021	14988	15654	16383	16740	17679	17845	17238	17999	18277	17801	17695	17994	18094	18241	19529	21347	22427	25005	28149	30943	32815	33240	33519	35477	38094	37783	39869	41153	43682	46051	46553	47662	48262	50597	53180	55922	58931	60014	61899	63691	67961	71088	70510	72588	77055	80173	80275	78060	74695	69283	61887	29126	
2	4586	8451	9848	11480	11961	11428	12272	14287	17068	17860	17709	17951	18067	19295	20545	20957	22513	23510	25070	28041	30117	34249	38659	43792	46231	47625	50207	52230	53952	54323	56137	57136	58290	60154	60187	60628	61773	66456	71686	74802	83218	92605	103468	111750	114225	117667	126933	133694	139587	146543	154723	164935	173835	182348	190256	194946	204488	214126	217873	225147	235976	245341	257059	270740	286820	306557	323957	350421	371858	383338	398730	399969	387410	448604	473905	
-	2466	2855	2620	2886	3047	3004	3021	3706	4348	4282	3975	3970	3995	4008	4404	4528	4912	5094	5295	6169	6775	8066	9553	11063	11720	12453	13505	13729	14426	14286	14551	15182	15104	15105	15030	14467	14628	15866	16821	17439	19486	22141	24623	26668	27522	27381	29154	30556	31492	33130	34412	36188	38356	39922	40717	41554	43068	45690	47890	50933	53825	55841	57759	60697	63171	66533	67941	72846	75923	76642	77628	73751	68108	62871	30262	
1	6304	9644	10299	11827	13125	13618	14214	15706	17762	18191	17757	17776	17699	18644	19164	20551	22265	23597	25628	27668	31111	35563	40720	45758	48360	50640	52285	55846	57203	55178	58157	60366	60307	61361	61720	62182	63457	69075	74996	79928	91290	102983	116478	125656	128653	133832	146166	155018	159045	167232	178326	190656	202550	207337	214736	221201	232890	242802	249121	259453	261462	272784	286034	303450	323696	336863	356581	387845	415104	430342	432135	435757	429920	470276	259677	
C	2452764	4542972	4059950	3732277	3507721	3518287	3509256	3291293	2935913	2956921	2945816	2936783	2926802	2746845	2932212	2846724	2689879	2555295	2447906	2325023	2127587	2170174	2034542	1888740	1786950	1665851	1728770	1655319	1574980	1498137	1430618	1467870	1398365	1338867	1288534	1243930	1273802	1211369	1118203	1040463	944956	864077	802566	800686	773273	738937	694187	647335	645395	613012	570848	536289	503491	490433	458453	428003	405575	382023	357790	330296	320296	305677	287518	268888	254438	247267	232870	212868	193436	178500	170131	159585	151658	111368	147291	
