/	0.00021	0.00028	0.00022	0.00026	0.00027	0.00029	0.00031	0.00035	0.00040	0.00042	0.00042	0.00039	0.00039	0.00042	0.00043	0.00044	0.00048	0.00051	0.00055	0.00061	0.00067	0.00077	0.00090	0.00103	0.00105	0.00112	0.00115	0.00121	0.00123	0.00118	0.00121	0.00126	0.00125	0.00125	0.00125	0.00125	0.00127	0.00138	0.00149	0.00153	0.00172	0.00193	0.00212	0.00230	0.00230	0.00234	0.00252	0.00267	0.00272	0.00287	0.00298	0.00314	0.00334	0.00349	0.00355	0.00362	0.00379	0.00401	0.00417	0.00440	0.00464	0.00481	0.00498	0.00526	0.00552	0.00582	0.00602	0.00649	0.00681	0.00694	0.00719	0.00707	0.00677	0.00689	0.00360	
=	0.00405	0.00751	0.00880	0.01090	0.01203	0.01236	0.01332	0.01435	0.01652	0.01774	0.01876	0.01910	0.01883	0.02000	0.02048	0.02187	0.02282	0.02344	0.02445	0.02543	0.02725	0.02844	0.03058	0.03259	0.03501	0.03705	0.03758	0.04051	0.04219	0.04254	0.04372	0.04291	0.04500	0.04709	0.04900	0.05063	0.04959	0.05101	0.05248	0.05430	0.05675	0.05945	0.06179	0.06172	0.06340	0.06600	0.06838	0.07031	0.06961	0.07089	0.07298	0.07434	0.07545	0.07458	0.07562	0.07651	0.07730	0.07764	0.07746	0.07727	0.07537	0.07564	0.07612	0.07600	0.07617	0.07453	0.07396	0.07282	0.07184	0.07082	0.06853	0.06747	0.06682	0.06032	0.05461	
:	0.00080	0.00134	0.00166	0.00206	0.00227	0.00236	0.00251	0.00273	0.00320	0.00337	0.00326	0.00327	0.00331	0.00348	0.00371	0.00393	0.00415	0.00446	0.00472	0.00511	0.00564	0.00649	0.00721	0.00776	0.00832	0.00878	0.00940	0.01005	0.01048	0.01065	0.01098	0.01138	0.01183	0.01239	0.01271	0.01308	0.01373	0.01445	0.01515	0.01593	0.01718	0.01857	0.01983	0.02126	0.02189	0.02286	0.02411	0.02497	0.02624	0.02722	0.02848	0.02959	0.03049	0.03221	0.03317	0.03412	0.03489	0.03565	0.03589	0.03627	0.03745	0.03824	0.03918	0.03989	0.04094	0.04276	0.04369	0.04455	0.04511	0.04544	0.04629	0.04592	0.04444	0.04866	0.04868	
7	0.00065	0.00095	0.00118	0.00138	0.00151	0.00153	0.00163	0.00178	0.00211	0.00224	0.00224	0.00225	0.00225	0.00238	0.00262	0.00268	0.00283	0.00300	0.00315	0.00344	0.00373	0.00434	0.00482	0.00535	0.00571	0.00599	0.00630	0.00669	0.00692	0.00697	0.00717	0.00728	0.00745	0.00787	0.00818	0.00835	0.00852	0.00910	0.00960	0.01010	0.01106	0.01214	0.01315	0.01392	0.01425	0.01483	0.01592	0.01681	0.01737	0.01819	0.01916	0.02004	0.02094	0.02172	0.02253	0.02323	0.02410	0.02475	0.02538	0.02597	0.02647	0.02736	0.02817	0.02922	0.03045	0.03167	0.03297	0.03441	0.03548	0.03626	0.03678	0.03751	0.03691	0.04290	0.04679	
*	0.00018	0.00020	0.00019	0.00021	0.00021	0.00017	0.00016	0.00021	0.00026	0.00023	0.00019	0.00018	0.00019	0.00020	0.00020	0.00021	0.00022	0.00023	0.00022	0.00023	0.00024	0.00028	0.00031	0.00034	0.00036	0.00040	0.00041	0.00041	0.00043	0.00042	0.00043	0.00043	0.00043	0.00044	0.00044	0.00043	0.00045	0.00048	0.00050	0.00050	0.00054	0.00056	0.00060	0.00064	0.00065	0.00065	0.00067	0.00070	0.00074	0.00075	0.00076	0.00080	0.00082	0.00087	0.00086	0.00087	0.00090	0.00097	0.00098	0.00104	0.00109	0.00112	0.00114	0.00118	0.00124	0.00126	0.00128	0.00133	0.00136	0.00133	0.00129	0.00117	0.00099	0.00066	0.00020	
,	0.00013	0.00018	0.00017	0.00019	0.00021	0.00022	0.00023	0.00026	0.00030	0.00029	0.00028	0.00027	0.00027	0.00029	0.00029	0.00029	0.00033	0.00035	0.00037	0.00043	0.00047	0.00053	0.00060	0.00070	0.00073	0.00076	0.00078	0.00082	0.00083	0.00080	0.00084	0.00085	0.00083	0.00082	0.00084	0.00084	0.00085	0.00091	0.00099	0.00104	0.00116	0.00131	0.00144	0.00152	0.00154	0.00156	0.00165	0.00177	0.00176	0.00185	0.00191	0.00203	0.00214	0.00216	0.00221	0.00224	0.00235	0.00247	0.00260	0.00274	0.00279	0.00288	0.00296	0.00316	0.00330	0.00328	0.00337	0.00358	0.00372	0.00373	0.00363	0.00347	0.00322	0.00288	0.00135	
2	0.00021	0.00039	0.00046	0.00053	0.00056	0.00053	0.00057	0.00066	0.00079	0.00083	0.00082	0.00083	0.00084	0.00090	0.00095	0.00097	0.00105	0.00109	0.00116	0.00130	0.00140	0.00159	0.00180	0.00203	0.00215	0.00221	0.00233	0.00243	0.00251	0.00252	0.00261	0.00265	0.00271	0.00279	0.00280	0.00282	0.00287	0.00309	0.00333	0.00348	0.00387	0.00430	0.00481	0.00519	0.00531	0.00547	0.00590	0.00621	0.00649	0.00681	0.00719	0.00766	0.00808	0.00847	0.00884	0.00906	0.00950	0.00995	0.01012	0.01046	0.01096	0.01140	0.01194	0.01258	0.01333	0.01424	0.01505	0.01628	0.01728	0.01781	0.01853	0.01858	0.01800	0.02084	0.02202	
-	0.00011	0.00013	0.00012	0.00013	0.00014	0.00014	0.00014	0.00017	0.00020	0.00020	0.00018	0.00018	0.00019	0.00019	0.00020	0.00021	0.00023	0.00024	0.00025	0.00029	0.00031	0.00037	0.00044	0.00051	0.00054	0.00058	0.00063	0.00064	0.00067	0.00066	0.00068	0.00071	0.00070	0.00070	0.00070	0.00067	0.00068	0.00074	0.00078	0.00081	0.00091	0.00103	0.00114	0.00124	0.00128	0.00127	0.00135	0.00142	0.00146	0.00154	0.00160	0.00168	0.00178	0.00185	0.00189	0.00193	0.00200	0.00212	0.00223	0.00237	0.00250	0.00259	0.00268	0.00282	0.00294	0.00309	0.00316	0.00338	0.00353	0.00356	0.00361	0.00343	0.00316	0.00292	0.00141	
1	0.00029	0.00045	0.00048	0.00055	0.00061	0.00063	0.00066	0.00073	0.00083	0.00085	0.00083	0.00083	0.00082	0.00087	0.00089	0.00095	0.00103	0.00110	0.00119	0.00129	0.00145	0.00165	0.00189	0.00213	0.00225	0.00235	0.00243	0.00259	0.00266	0.00256	0.00270	0.00280	0.00280	0.00285	0.00287	0.00289	0.00295	0.00321	0.00348	0.00371	0.00424	0.00478	0.00541	0.00584	0.00598	0.00622	0.00679	0.00720	0.00739	0.00777	0.00829	0.00886	0.00941	0.00963	0.00998	0.01028	0.01082	0.01128	0.01157	0.01205	0.01215	0.01267	0.01329	0.01410	0.01504	0.01565	0.01657	0.01802	0.01929	0.01999	0.02008	0.02025	0.01997	0.02185	0.01206	
C	0.11396	0.21107	0.18863	0.17341	0.16297	0.16346	0.16304	0.15292	0.13641	0.13738	0.13687	0.13645	0.13598	0.12762	0.13623	0.13226	0.12498	0.11872	0.11373	0.10802	0.09885	0.10083	0.09453	0.08775	0.08302	0.07740	0.08032	0.07691	0.07318	0.06961	0.06647	0.06820	0.06497	0.06221	0.05987	0.05779	0.05918	0.05628	0.05195	0.04834	0.04390	0.04015	0.03729	0.03720	0.03593	0.03433	0.03225	0.03008	0.02999	0.02848	0.02652	0.02492	0.02339	0.02279	0.02130	0.01989	0.01884	0.01775	0.01662	0.01535	0.01488	0.01420	0.01336	0.01249	0.01182	0.01149	0.01082	0.00989	0.00899	0.00829	0.00790	0.00741	0.00705	0.00517	0.00684	
0	0.00015	0.00027	0.00029	0.00032	0.00033	0.00032	0.00033	0.00038	0.00046	0.00049	0.00048	0.00048	0.00048	0.00052	0.00054	0.00056	0.00059	0.00061	0.00067	0.00073	0.00080	0.00090	0.00102	0.00115	0.00122	0.00129	0.00133	0.00140	0.00144	0.00146	0.00152	0.00154	0.00154	0.00160	0.00163	0.00162	0.00166	0.00177	0.00188	0.00196	0.00214	0.00240	0.00261	0.00280	0.00283	0.00286	0.00308	0.00322	0.00332	0.00346	0.00366	0.00388	0.00405	0.00419	0.00432	0.00444	0.00466	0.00484	0.00504	0.00521	0.00535	0.00557	0.00577	0.00607	0.00644	0.00666	0.00700	0.00751	0.00792	0.00813	0.00815	0.00817	0.00795	0.00884	0.00495	
.	0.00021	0.00024	0.00024	0.00025	0.00026	0.00026	0.00027	0.00031	0.00035	0.00038	0.00034	0.00033	0.00033	0.00034	0.00038	0.00038	0.00040	0.00042	0.00046	0.00051	0.00056	0.00066	0.00077	0.00086	0.00092	0.00098	0.00104	0.00110	0.00114	0.00114	0.00121	0.00124	0.00122	0.00122	0.00124	0.00122	0.00127	0.00134	0.00142	0.00149	0.00164	0.00185	0.00206	0.00220	0.00222	0.00227	0.00242	0.00255	0.00257	0.00274	0.00283	0.00301	0.00313	0.00321	0.00330	0.00338	0.00352	0.00370	0.00385	0.00405	0.00414	0.00428	0.00442	0.00467	0.00491	0.00500	0.00515	0.00551	0.00578	0.00582	0.00575	0.00562	0.00534	0.00521	0.00266	
@	0.03711	0.03683	0.04008	0.04378	0.04557	0.04337	0.04537	0.04889	0.05431	0.06043	0.06385	0.06114	0.05771	0.05906	0.06138	0.06266	0.06249	0.06247	0.06253	0.06254	0.06405	0.06596	0.06743	0.07105	0.07268	0.07440	0.07694	0.07938	0.07993	0.07947	0.08010	0.08207	0.08309	0.08405	0.08719	0.08805	0.08981	0.09000	0.09019	0.09068	0.09085	0.09035	0.09013	0.09154	0.09165	0.09187	0.09121	0.09305	0.09366	0.09296	0.09250	0.09127	0.09001	0.09028	0.08922	0.08820	0.08673	0.08523	0.08579	0.08438	0.08409	0.08232	0.08037	0.07826	0.07553	0.07353	0.07091	0.06746	0.06420	0.06175	0.06003	0.05835	0.05681	0.04801	0.04501	
<	0.00238	0.00348	0.00417	0.00502	0.00527	0.00491	0.00518	0.00580	0.00700	0.00774	0.00789	0.00779	0.00751	0.00788	0.00851	0.00872	0.00879	0.00904	0.00935	0.00976	0.01033	0.01159	0.01243	0.01336	0.01425	0.01485	0.01550	0.01665	0.01736	0.01741	0.01765	0.01783	0.01850	0.01932	0.02011	0.02065	0.02105	0.02175	0.02225	0.02286	0.02410	0.02539	0.02664	0.02787	0.02845	0.02954	0.03091	0.03195	0.03311	0.03384	0.03497	0.03568	0.03632	0.03744	0.03819	0.03871	0.03918	0.03994	0.04028	0.04027	0.04095	0.04136	0.04174	0.04210	0.04261	0.04370	0.04422	0.04427	0.04419	0.04406	0.04423	0.04402	0.04310	0.04405	0.04174	
;	0.00220	0.00385	0.00453	0.00548	0.00598	0.00608	0.00631	0.00651	0.00719	0.00752	0.00785	0.00795	0.00791	0.00825	0.00845	0.00876	0.00890	0.00917	0.00963	0.01011	0.01074	0.01154	0.01229	0.01326	0.01412	0.01472	0.01490	0.01586	0.01625	0.01625	0.01669	0.01668	0.01736	0.01809	0.01901	0.01958	0.01971	0.02050	0.02119	0.02206	0.02340	0.02491	0.02646	0.02718	0.02801	0.02941	0.03096	0.03247	0.03341	0.03443	0.03581	0.03692	0.03794	0.03895	0.04007	0.04099	0.04180	0.04216	0.04265	0.04282	0.04309	0.04391	0.04479	0.04544	0.04637	0.04752	0.04825	0.04875	0.04900	0.04916	0.04902	0.04922	0.04840	0.04843	0.04561	
