/	6853	19296	17613	22738	31636	34662	39150	48217	60130	70261	74603	79555	93882	92632	86912	91102	86954	89062	83311	70083	68245	74505	98793	110921	109001	114445	116189	116322	134757	146269	164989	163668	170721	184235	175840	168140	162523	135203	137656	159496	152429	154678	147501	141359	151080	153736	165532	177126	176400	170670	168421	165917	174842	181048	180084	197162	195532	190092	180511	168500	158182	156422	161721	166288	169703	174360	177813	191544	192703	181895	172676	161696	135248	106328	16867	
=	281929	510952	552346	630464	745013	811242	853932	954865	1080397	1147197	1193014	1224290	1278781	1288526	1305459	1328086	1295988	1286330	1321654	1274802	1219564	1246601	1318382	1333051	1338943	1402634	1478498	1491872	1531726	1536927	1527564	1517002	1508799	1463038	1466291	1450078	1444301	1406265	1309361	1237227	1169797	1169453	1145233	1156131	1175956	1137694	1146343	1118843	1091680	1084166	1083300	1084079	1031993	990498	948264	879311	846658	816333	794097	778302	771302	752688	724482	707284	686129	650319	618375	575988	542672	535053	513988	481206	473959	386461	401023	
7	66780	97951	112078	137576	172324	188087	203865	241069	279996	308396	325941	342981	377425	379473	377747	385090	373376	372756	377147	358967	359207	389050	453178	490559	498277	518148	538983	547284	596772	625720	662936	670158	685822	699900	686583	665035	656332	609215	602127	641742	621986	627619	616589	615167	646366	643953	678315	696127	690165	682663	672984	666612	670825	677624	678519	687396	674827	649092	624574	596740	579914	572608	574636	588458	604282	610022	618603	624299	620444	610041	600218	593033	564802	579434	511851	
,	7912	12665	12070	14873	20266	22371	24917	29452	36344	41318	43128	45150	53676	53111	51161	53078	49615	52393	46996	39821	39533	43045	56867	64822	62499	65987	65995	64857	75444	80136	91379	90541	94597	102284	98940	92838	89132	72994	73487	83430	77040	76909	71206	67417	70974	70928	77213	82536	80942	77488	75275	73658	76586	78940	77353	84356	82106	77460	71607	65360	60152	59807	60884	61799	61851	63263	63436	66946	66362	60802	55739	49396	37847	23699	2614	
2	22520	39849	46867	57537	71701	74635	80211	97677	113496	127638	131881	140308	160907	158713	152451	155916	148255	146536	145206	137137	138791	152402	189284	213760	215042	221191	221853	221838	248522	265742	291804	293491	301082	322422	309494	290174	283893	256854	273608	318304	319730	323126	314915	309530	325995	334044	354535	372355	372175	359417	346714	337349	353133	369389	377284	408268	416533	414338	400381	378580	359378	355737	368057	381961	392388	404781	417832	437234	443660	429570	417644	411209	371461	420747	429012	
1	14955	34692	37792	46786	61983	70229	77762	94392	113575	128194	136242	142649	165874	165258	161293	166704	159146	161100	154913	138432	137307	154250	205206	233612	233599	243206	243905	244685	279858	302437	339303	341144	347169	378100	362871	342518	336571	287242	299484	353938	348526	350080	336975	326266	346442	351860	376467	396694	395854	380826	369287	358798	376437	390627	388592	422700	420371	406547	387516	357270	333441	326769	339042	352549	358349	369785	375720	396432	399788	380371	367525	360049	316229	302603	56158	
<	167599	256830	288908	335453	393672	421176	421620	484432	552802	603334	615315	627790	656389	667172	678328	690411	681568	677730	696517	674032	649919	679956	731544	750277	761987	801361	848426	860676	898763	922011	940851	947693	962520	955322	958942	953955	950898	910637	858858	840858	808923	810993	800549	811284	843314	829512	859476	860657	853096	859623	860198	867615	839209	827641	803805	771632	742174	702000	674749	649511	643426	629103	617186	617974	623136	610044	592606	568510	543034	533328	515817	496863	480461	425460	376035	
>	306240	536001	615095	685835	781957	827718	836875	939802	1044249	1113054	1131216	1132994	1152477	1168885	1194643	1210337	1198754	1195187	1223721	1213106	1154913	1151241	1148954	1129013	1150027	1195329	1241939	1248946	1233982	1223722	1189234	1190229	1179006	1134144	1152664	1170297	1162100	1167069	1097556	1014288	975412	968589	966652	971189	959301	944829	928652	897139	880778	882699	886774	892632	850568	800847	778191	715571	693162	686949	681534	680988	682729	668037	649101	626414	595434	553711	528230	483942	456527	452026	436800	399882	399818	333109	353710	
B	13808026	8752237	8724997	8260992	7759817	7524976	7552862	7052553	6297165	5798709	5642170	5469844	5112238	5072749	5036341	4922187	5033357	4997402	4918971	5173354	5411482	5223319	4613204	4341472	4231999	3774564	3308436	3179093	2726019	2477097	2204541	2128610	1973367	1844446	1834021	1842547	1793235	2108314	2294509	2104551	2271250	2161002	2202054	2082996	1717482	1672319	1344345	1167924	1120095	1092756	1037489	951468	879545	768919	735962	632466	628578	689265	759669	860513	844094	829307	753033	623368	513939	434097	366573	292453	263774	256871	236940	192569	201911	113243	274537	
?	508649	845357	902192	989456	1147698	1258718	1324105	1438358	1610660	1677270	1746884	1795867	1868146	1865052	1877358	1911042	1859941	1843087	1889694	1828963	1711712	1712816	1776680	1772116	1777747	1882023	1996645	1995070	2034499	2023772	1983648	1955157	1938633	1854381	1867467	1852199	1839468	1822434	1703725	1619119	1508788	1515660	1484491	1492602	1512100	1454852	1451315	1405158	1361437	1338751	1317810	1314466	1235767	1180334	1125834	1039403	1015765	991535	968743	951273	941089	910758	873196	843796	794282	740319	688593	626501	576666	562185	531756	493444	490724	338361	392410	
