/	0.00033	0.00092	0.00084	0.00108	0.00150	0.00164	0.00186	0.00229	0.00285	0.00333	0.00354	0.00378	0.00446	0.00440	0.00412	0.00432	0.00413	0.00423	0.00395	0.00333	0.00324	0.00354	0.00469	0.00526	0.00517	0.00543	0.00551	0.00552	0.00639	0.00694	0.00783	0.00777	0.00810	0.00874	0.00834	0.00798	0.00771	0.00642	0.00653	0.00757	0.00723	0.00734	0.00700	0.00671	0.00717	0.00730	0.00786	0.00841	0.00837	0.00810	0.00799	0.00787	0.00830	0.00859	0.00855	0.00936	0.00928	0.00902	0.00857	0.00800	0.00751	0.00742	0.00767	0.00789	0.00805	0.00827	0.00844	0.00909	0.00914	0.00863	0.00819	0.00767	0.00642	0.00505	0.00080	
=	0.01338	0.02425	0.02621	0.02992	0.03535	0.03850	0.04052	0.04531	0.05127	0.05444	0.05661	0.05810	0.06068	0.06115	0.06195	0.06302	0.06150	0.06104	0.06272	0.06050	0.05787	0.05916	0.06256	0.06326	0.06354	0.06656	0.07016	0.07080	0.07269	0.07294	0.07249	0.07199	0.07160	0.06943	0.06958	0.06881	0.06854	0.06673	0.06214	0.05871	0.05551	0.05550	0.05435	0.05486	0.05581	0.05399	0.05440	0.05310	0.05181	0.05145	0.05141	0.05145	0.04897	0.04700	0.04500	0.04173	0.04018	0.03874	0.03768	0.03693	0.03660	0.03572	0.03438	0.03356	0.03256	0.03086	0.02935	0.02733	0.02575	0.02539	0.02439	0.02284	0.02249	0.01834	0.01903	
7	0.00317	0.00465	0.00532	0.00653	0.00818	0.00893	0.00967	0.01144	0.01329	0.01464	0.01547	0.01628	0.01791	0.01801	0.01793	0.01827	0.01772	0.01769	0.01790	0.01703	0.01705	0.01846	0.02151	0.02328	0.02365	0.02459	0.02558	0.02597	0.02832	0.02969	0.03146	0.03180	0.03255	0.03321	0.03258	0.03156	0.03115	0.02891	0.02857	0.03045	0.02952	0.02978	0.02926	0.02919	0.03067	0.03056	0.03219	0.03303	0.03275	0.03240	0.03194	0.03163	0.03183	0.03216	0.03220	0.03262	0.03202	0.03080	0.02964	0.02832	0.02752	0.02717	0.02727	0.02793	0.02868	0.02895	0.02936	0.02963	0.02944	0.02895	0.02848	0.02814	0.02680	0.02750	0.02429	
,	0.00038	0.00060	0.00057	0.00071	0.00096	0.00106	0.00118	0.00140	0.00172	0.00196	0.00205	0.00214	0.00255	0.00252	0.00243	0.00252	0.00235	0.00249	0.00223	0.00189	0.00188	0.00204	0.00270	0.00308	0.00297	0.00313	0.00313	0.00308	0.00358	0.00380	0.00434	0.00430	0.00449	0.00485	0.00470	0.00441	0.00423	0.00346	0.00349	0.00396	0.00366	0.00365	0.00338	0.00320	0.00337	0.00337	0.00366	0.00392	0.00384	0.00368	0.00357	0.00350	0.00363	0.00375	0.00367	0.00400	0.00390	0.00368	0.00340	0.00310	0.00285	0.00284	0.00289	0.00293	0.00294	0.00300	0.00301	0.00318	0.00315	0.00289	0.00265	0.00234	0.00180	0.00112	0.00012	
2	0.00107	0.00189	0.00222	0.00273	0.00340	0.00354	0.00381	0.00464	0.00539	0.00606	0.00626	0.00666	0.00764	0.00753	0.00723	0.00740	0.00704	0.00695	0.00689	0.00651	0.00659	0.00723	0.00898	0.01014	0.01020	0.01050	0.01053	0.01053	0.01179	0.01261	0.01385	0.01393	0.01429	0.01530	0.01469	0.01377	0.01347	0.01219	0.01298	0.01511	0.01517	0.01533	0.01494	0.01469	0.01547	0.01585	0.01682	0.01767	0.01766	0.01706	0.01645	0.01601	0.01676	0.01753	0.01790	0.01937	0.01977	0.01966	0.01900	0.01797	0.01705	0.01688	0.01747	0.01813	0.01862	0.01921	0.01983	0.02075	0.02105	0.02039	0.01982	0.01951	0.01763	0.01997	0.02036	
1	0.00071	0.00165	0.00179	0.00222	0.00294	0.00333	0.00369	0.00448	0.00539	0.00608	0.00647	0.00677	0.00787	0.00784	0.00765	0.00791	0.00755	0.00765	0.00735	0.00657	0.00652	0.00732	0.00974	0.01109	0.01109	0.01154	0.01157	0.01161	0.01328	0.01435	0.01610	0.01619	0.01648	0.01794	0.01722	0.01625	0.01597	0.01363	0.01421	0.01680	0.01654	0.01661	0.01599	0.01548	0.01644	0.01670	0.01787	0.01883	0.01879	0.01807	0.01752	0.01703	0.01786	0.01854	0.01844	0.02006	0.01995	0.01929	0.01839	0.01695	0.01582	0.01551	0.01609	0.01673	0.01701	0.01755	0.01783	0.01881	0.01897	0.01805	0.01744	0.01709	0.01501	0.01436	0.00266	
<	0.00795	0.01219	0.01371	0.01592	0.01868	0.01999	0.02001	0.02299	0.02623	0.02863	0.02920	0.02979	0.03115	0.03166	0.03219	0.03276	0.03234	0.03216	0.03305	0.03199	0.03084	0.03227	0.03472	0.03560	0.03616	0.03803	0.04026	0.04084	0.04265	0.04375	0.04465	0.04497	0.04568	0.04534	0.04551	0.04527	0.04513	0.04321	0.04076	0.03990	0.03839	0.03849	0.03799	0.03850	0.04002	0.03936	0.04079	0.04084	0.04048	0.04079	0.04082	0.04117	0.03982	0.03928	0.03814	0.03662	0.03522	0.03331	0.03202	0.03082	0.03053	0.02985	0.02929	0.02933	0.02957	0.02895	0.02812	0.02698	0.02577	0.02531	0.02448	0.02358	0.02280	0.02019	0.01784	
>	0.01453	0.02544	0.02919	0.03255	0.03711	0.03928	0.03971	0.04460	0.04956	0.05282	0.05368	0.05377	0.05469	0.05547	0.05669	0.05744	0.05689	0.05672	0.05807	0.05757	0.05481	0.05463	0.05452	0.05358	0.05457	0.05672	0.05894	0.05927	0.05856	0.05807	0.05644	0.05648	0.05595	0.05382	0.05470	0.05554	0.05515	0.05538	0.05208	0.04813	0.04629	0.04596	0.04587	0.04609	0.04552	0.04484	0.04407	0.04257	0.04180	0.04189	0.04208	0.04236	0.04036	0.03800	0.03693	0.03396	0.03289	0.03260	0.03234	0.03232	0.03240	0.03170	0.03080	0.02973	0.02826	0.02628	0.02507	0.02297	0.02166	0.02145	0.02073	0.01898	0.01897	0.01581	0.01679	
B	0.65526	0.41534	0.41405	0.39203	0.36824	0.35710	0.35842	0.33468	0.29883	0.27518	0.26775	0.25957	0.24260	0.24073	0.23900	0.23358	0.23886	0.23715	0.23343	0.24550	0.25680	0.24787	0.21892	0.20603	0.20083	0.17912	0.15700	0.15086	0.12936	0.11755	0.10462	0.10101	0.09365	0.08753	0.08703	0.08744	0.08510	0.10005	0.10889	0.09987	0.10778	0.10255	0.10450	0.09885	0.08150	0.07936	0.06380	0.05542	0.05315	0.05186	0.04923	0.04515	0.04174	0.03649	0.03493	0.03001	0.02983	0.03271	0.03605	0.04084	0.04006	0.03936	0.03574	0.02958	0.02439	0.02060	0.01740	0.01388	0.01252	0.01219	0.01124	0.00914	0.00958	0.00537	0.01303	
?	0.02414	0.04012	0.04281	0.04695	0.05446	0.05973	0.06284	0.06826	0.07643	0.07960	0.08290	0.08522	0.08865	0.08851	0.08909	0.09069	0.08826	0.08746	0.08968	0.08679	0.08123	0.08128	0.08431	0.08410	0.08436	0.08931	0.09475	0.09468	0.09655	0.09604	0.09413	0.09278	0.09200	0.08800	0.08862	0.08790	0.08729	0.08648	0.08085	0.07684	0.07160	0.07193	0.07045	0.07083	0.07176	0.06904	0.06887	0.06668	0.06461	0.06353	0.06254	0.06238	0.05864	0.05601	0.05343	0.04933	0.04820	0.04705	0.04597	0.04514	0.04466	0.04322	0.04144	0.04004	0.03769	0.03513	0.03268	0.02973	0.02737	0.02668	0.02523	0.02342	0.02329	0.01606	0.01862	
